attribute_id,entity_type_id,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,is_bfm_defined,attribute_id,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,search_weight,is_deleted,attribute_set_and_group_names
246,4,adg_image_banner,,Magento\Catalog\Model\Category\Attribute\Backend\Image,varchar,,,image,Category top carousel image,,,0,1,NULL,0,Recommended size: Width 960,0,246,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Default|ADG
145,4,allow_message,NULL,NULL,int,NULL,NULL,text,Allow Message,NULL,NULL,0,0,NULL,0,NULL,0,145,NULL,0,0,0,0,0,0,0,0,0,0,0,0,giftcard,0,0,0,0,1,0,"Accessories|Prices,Backing Board|Prices,Chalk Boards|Prices,Cork Boards|Prices,Default|Prices,Dry Erase Board|Prices,Fabric|Prices,Glass|Prices,Laminate|Prices,Letter Board|Prices,Post Finish|Prices"
339,4,backingboard_type,NULL,NULL,int,NULL,NULL,select,Backing Board Type,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\BackingBoardType,0,1,,0,NULL,0,339,NULL,1,1,0,0,0,1,0,0,0,1,0,1,simple,0,0,0,1,1,0,Backing Board|Backing Board
377,4,board_color,NULL,NULL,int,NULL,NULL,select,Board Color,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\ChalkBoardsBoardColor,0,1,,0,NULL,0,377,NULL,0,1,0,1,0,1,1,0,1,1,0,0,simple,0,0,0,1,1,0,"Chalk Boards|Chalk Boards,Cork Boards|Cork Board,Dry Erase Board|Dry Erase Board,Letter Board|Letter Board"
388,4,box_depth,NULL,NULL,decimal,NULL,NULL,text,Box Depth,validate-number,NULL,1,1,NULL,0,NULL,0,388,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|General,Default|General"
387,4,box_dimension,NULL,NULL,decimal,NULL,NULL,text,Box Dimension (For Width and Height),validate-number,NULL,1,1,NULL,0,NULL,0,387,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|General,Default|General"
392,4,box_thickness,NULL,NULL,text,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Frontend\Fractional,select,Wall thickness of the box,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\MatboardOverlap,0,1,NULL,0,NULL,1,392,NULL,1,1,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,1,1,0,"Accessories|Size,Backing Board|Size,Cork Boards|Size,Default|Size,Dry Erase Board|Size,Fabric|Size,Glass|Size,Laminate|Size,Letter Board|Size,Post Finish|Size"
108,4,category_ids,NULL,NULL,static,NULL,NULL,text,NULL,NULL,NULL,0,0,NULL,0,NULL,0,108,NULL,1,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
272,4,code,NULL,NULL,varchar,NULL,NULL,text,Code,NULL,NULL,0,1,NULL,0,NULL,0,272,NULL,0,1,0,0,0,1,1,0,0,1,0,0,"simple,frame",0,0,0,0,1,0,"Backing Board|Backing Board,Chalk Boards|Chalk Boards,Cork Boards|Cork Board,Dry Erase Board|Dry Erase Board,Fabric|Fabric,Glass|Glass,Laminate|Laminate,Letter Board|Letter Board,Post Finish|Post Finish"
264,4,color_layer,NULL,NULL,varchar,NULL,NULL,text,Color Layer,,NULL,0,1,NULL,0,NULL,0,264,adg_customizer/adminhtml_catalog_form_renderer_attribute_colorLayer,0,1,0,0,0,1,1,0,0,1,0,0,NULL,0,0,0,0,1,0,Fabric|Fabric
115,4,created_at,NULL,eav/entity_attribute_backend_time_created,static,NULL,NULL,text,NULL,NULL,NULL,1,0,NULL,0,NULL,0,115,NULL,1,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
103,4,custom_design,NULL,NULL,varchar,NULL,NULL,select,Custom Design,NULL,core/design_source_design,0,0,NULL,0,NULL,0,103,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|Design,Backing Board|Design,Chalk Boards|Design,Cork Boards|Design,Default|Design,Dry Erase Board|Design,Fabric|Design,Glass|Design,Laminate|Design,Letter Board|Design,Post Finish|Design"
104,4,custom_design_from,NULL,catalog/product_attribute_backend_startdate,datetime,NULL,NULL,date,Active From,NULL,NULL,0,0,NULL,0,NULL,0,104,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|Design,Backing Board|Design,Chalk Boards|Design,Cork Boards|Design,Default|Design,Dry Erase Board|Design,Fabric|Design,Glass|Design,Laminate|Design,Letter Board|Design,Post Finish|Design"
105,4,custom_design_to,NULL,eav/entity_attribute_backend_datetime,datetime,NULL,NULL,date,Active To,NULL,NULL,0,0,NULL,0,NULL,0,105,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|Design,Backing Board|Design,Chalk Boards|Design,Cork Boards|Design,Default|Design,Dry Erase Board|Design,Fabric|Design,Glass|Design,Laminate|Design,Letter Board|Design,Post Finish|Design"
106,4,custom_layout_update,NULL,catalog/attribute_backend_customlayoutupdate,text,NULL,NULL,textarea,Custom Layout Update,NULL,NULL,0,0,NULL,0,NULL,0,106,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|Design,Backing Board|Design,Chalk Boards|Design,Cork Boards|Design,Default|Design,Dry Erase Board|Design,Fabric|Design,Glass|Design,Laminate|Design,Letter Board|Design,Post Finish|Design"
72,4,description,NULL,NULL,text,NULL,NULL,textarea,Description,NULL,NULL,0,0,NULL,0,NULL,0,72,NULL,0,1,1,0,1,0,1,0,0,0,0,1,NULL,1,0,1,0,1,0,"Accessories|General,Backing Board|General,Chalk Boards|General,Cork Boards|General,Default|General,Dry Erase Board|General,Fabric|General,Glass|General,Laminate|General,Letter Board|General,Post Finish|General"
314,4,dry_erase_board_material,NULL,NULL,int,NULL,NULL,select,Board Material,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\ChalkBoardsBoardMaterial,0,1,,0,NULL,0,314,NULL,0,1,0,1,0,1,1,0,1,1,0,0,simple,0,0,0,1,1,0,"Chalk Boards|Chalk Boards,Cork Boards|Cork Board,Dry Erase Board|Dry Erase Board"
143,4,email_template,NULL,NULL,varchar,NULL,NULL,text,Email Template,NULL,NULL,0,0,NULL,0,NULL,0,143,NULL,0,0,0,0,0,0,0,0,0,0,0,0,giftcard,0,0,0,0,1,0,"Accessories|Prices,Backing Board|Prices,Chalk Boards|Prices,Cork Boards|Prices,Default|Prices,Dry Erase Board|Prices,Fabric|Prices,Glass|Prices,Laminate|Prices,Letter Board|Prices,Post Finish|Prices"
391,4,expedited_shipping,NULL,,int,NULL,NULL,select,Expedited Shipping Available,NULL,Magento\Eav\Model\Entity\Attribute\Source\Boolean,0,1,0,0,NULL,0,391,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|General,Default|General"
356,4,fabric_color,NULL,NULL,int,NULL,NULL,select,Fabric Color,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\FabricColor,1,1,,0,NULL,0,356,NULL,1,1,0,1,0,1,0,0,0,1,0,1,simple,0,0,0,1,1,0,Fabric|Fabric
374,4,fabric_selections,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,int,NULL,NULL,multiselect,Featured Selections,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\FabricSelections,0,1,,0,NULL,0,374,NULL,1,1,0,1,0,1,0,0,0,1,0,0,simple,0,0,0,1,1,0,Fabric|Fabric
355,4,fabric_style,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,int,NULL,NULL,select,Fabric Style,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\FabricStyle,1,1,,0,NULL,0,355,NULL,1,1,0,1,0,1,0,0,0,1,0,1,simple,0,2,0,1,1,0,Fabric|Fabric
243,4,featured_product,NULL,NULL,int,NULL,NULL,select, Is Featured Product,NULL,Magento\Eav\Model\Entity\Attribute\Source\Boolean,0,1,0,0,NULL,0,243,NULL,2,1,0,0,0,1,0,0,0,0,0,1,simple,0,0,0,0,1,0,Default|ADG
408,4,freight_in_factor,NULL,NULL,decimal,NULL,NULL,text,Freight In Factor,validate-number,NULL,1,1,NULL,0,NULL,0,408,NULL,1,1,0,0,0,1,0,0,0,1,0,0,NULL,0,0,0,0,1,0,"Backing Board|Prices,Chalk Boards|Prices,Cork Boards|Prices,Dry Erase Board|Prices,Fabric|Prices,Glass|Prices,Laminate|Prices,Letter Board|Prices,Post Finish|Prices"
95,4,gallery,NULL,NULL,varchar,NULL,NULL,gallery,Image Gallery,NULL,NULL,0,0,NULL,0,NULL,0,95,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|Images,Backing Board|Images,Chalk Boards|Images,Cork Boards|Images,Default|Images,Dry Erase Board|Images,Fabric|Images,Glass|Images,Laminate|Images,Letter Board|Images,Post Finish|Images"
123,4,gift_message_available,NULL,catalog/product_attribute_backend_boolean,varchar,NULL,NULL,select,Allow Gift Message,NULL,eav/entity_attribute_source_boolean,0,0,NULL,0,NULL,0,123,giftmessage/adminhtml_product_helper_form_config,1,1,0,0,0,0,0,0,0,0,0,0,NULL,0,0,0,0,1,0,"Accessories|Gift Options,Backing Board|Gift Options,Chalk Boards|Gift Options,Cork Boards|Gift Options,Default|Gift Options,Dry Erase Board|Gift Options,Fabric|Gift Options,Glass|Gift Options,Laminate|Gift Options,Letter Board|Gift Options,Post Finish|Gift Options"
147,4,gift_wrapping_available,NULL,,int,NULL,NULL,select,Allow Gift Wrapping,hidden-for-virtual,Magento\Eav\Model\Entity\Attribute\Source\Boolean,0,0,NULL,0,NULL,0,147,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,"Accessories|Gift Options,Backing Board|Gift Options,Chalk Boards|Gift Options,Cork Boards|Gift Options,Default|Gift Options,Dry Erase Board|Gift Options,Fabric|Gift Options,Glass|Gift Options,Laminate|Gift Options,Letter Board|Gift Options,Post Finish|Gift Options"
