attribute_id,entity_type_id,attribute_code,attribute_model,backend_model,backend_type,backend_table,frontend_model,frontend_input,frontend_label,frontend_class,source_model,is_required,is_user_defined,default_value,is_unique,note,is_bfm_defined,attribute_id,frontend_input_renderer,is_global,is_visible,is_searchable,is_filterable,is_comparable,is_visible_on_front,is_html_allowed_on_front,is_used_for_price_rules,is_filterable_in_search,used_in_product_listing,used_for_sort_by,is_configurable,apply_to,is_visible_in_advanced_search,position,is_wysiwyg_enabled,is_used_for_promo_rules,search_weight,is_deleted,attribute_set_and_group_names
246,4,adg_image_banner,NULL,Magento\Catalog\Model\Category\Attribute\Backend\Image,varchar,NULL,NULL,image,Category top carousel image,NULL,NULL,0,1,NULL,0,Recommended size: Width 960,0,246,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|ADG
145,4,allow_message,NULL,NULL,int,NULL,NULL,text,Allow Message,NULL,NULL,0,0,NULL,0,NULL,0,145,NULL,0,0,0,0,0,0,0,0,0,0,0,0,giftcard,0,0,0,0,1,0,Custom Frame|Prices
388,4,box_depth,NULL,NULL,decimal,NULL,NULL,text,Box Depth,validate-number,NULL,1,1,NULL,0,NULL,0,388,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|General
387,4,box_dimension,NULL,NULL,decimal,NULL,NULL,text,Box Dimension (For Width and Height),validate-number,NULL,1,1,NULL,0,NULL,0,387,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|General
392,4,box_thickness,NULL,NULL,decimal,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Frontend\Fractional,select,Wall thickness of the box,NULL,adg_customizer/entity_attribute_source_fractional,0,1,NULL,0,NULL,1,392,NULL,1,1,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,1,1,0,Custom Frame|Size
108,4,category_ids,NULL,NULL,static,NULL,NULL,text,NULL,NULL,NULL,0,0,NULL,0,NULL,0,108,NULL,1,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|General
115,4,created_at,NULL,eav/entity_attribute_backend_time_created,static,NULL,NULL,text,NULL,NULL,NULL,1,0,NULL,0,NULL,0,115,NULL,1,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|General
103,4,custom_design,NULL,NULL,varchar,NULL,NULL,select,Custom Design,NULL,core/design_source_design,0,0,NULL,0,NULL,0,103,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|Design
104,4,custom_design_from,NULL,catalog/product_attribute_backend_startdate,datetime,NULL,NULL,date,Active From,NULL,NULL,0,0,NULL,0,NULL,0,104,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|Design
105,4,custom_design_to,NULL,eav/entity_attribute_backend_datetime,datetime,NULL,NULL,date,Active To,NULL,NULL,0,0,NULL,0,NULL,0,105,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|Design
106,4,custom_layout_update,NULL,catalog/attribute_backend_customlayoutupdate,text,NULL,NULL,textarea,Custom Layout Update,NULL,NULL,0,0,NULL,0,NULL,0,106,NULL,0,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|Design
431,4,dimension_2_default,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,NULL,multiselect,Default Selected Height,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\CommonDimensions,0,1,NULL,0,NULL,0,431,NULL,1,1,0,0,0,0,1,0,0,0,0,0,NULL,0,0,0,0,1,0,Custom Frame|Size
432,4,dimension_1_default,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Backend\SaveMultipleDimensions,text,NULL,NULL,multiselect,Default Selected Width,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\CommonDimensions,0,1,NULL,0,NULL,0,432,NULL,1,1,0,0,0,0,1,0,0,0,0,0,NULL,0,0,0,0,1,0,Custom Frame|Size
347,4,depth_type,NULL,NULL,varchar,NULL,NULL,select,Depth Type,NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\DepthType,1,1,NULL,0,NULL,0,347,NULL,1,1,0,0,0,1,0,0,0,1,0,1,customframe,0,0,0,1,1,0,Custom Frame|Size
72,4,description,NULL,NULL,text,NULL,NULL,textarea,Description,NULL,NULL,0,0,NULL,0,NULL,0,72,NULL,0,1,1,0,1,0,1,0,0,0,0,1,NULL,1,0,1,0,1,0,Custom Frame|General
143,4,email_template,NULL,NULL,varchar,NULL,NULL,text,Email Template,NULL,NULL,0,0,NULL,0,NULL,0,143,NULL,0,0,0,0,0,0,0,0,0,0,0,0,giftcard,0,0,0,0,1,0,Custom Frame|Prices
391,4,expedited_shipping,NULL,catalog/product_attribute_backend_boolean,int,NULL,NULL,select,Expedited Shipping Available,NULL,eav/entity_attribute_source_boolean,0,1,0,0,NULL,0,391,NULL,1,1,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,1,0,Custom Frame|General
