"attribute_id","entity_type_id","attribute_code","attribute_model","backend_model","backend_type","backend_table","frontend_model","frontend_input","frontend_label","frontend_class","source_model","is_required","is_user_defined","default_value","is_unique","note","is_bfm_defined","attribute_id","frontend_input_renderer","is_global","is_visible","is_searchable","is_filterable","is_comparable","is_visible_on_front","is_html_allowed_on_front","is_used_for_price_rules","is_filterable_in_search","used_in_product_listing","used_for_sort_by","is_configurable","apply_to","is_visible_in_advanced_search","position","is_wysiwyg_enabled","is_used_for_promo_rules","search_weight","is_deleted","attribute_set_and_group_names"
"145","4","allow_message",NULL,NULL,"int",NULL,NULL,"text","Allow Message",NULL,NULL,"0","0",NULL,"0",NULL,"0","145",NULL,"0","0","0","0","0","0","0","0","0","0","0","0","giftcard","0","0","0","0","1","0","Frame|Prices,Mat|Prices"
"323","4","back_of_moulding_width",NULL,NULL,"text",NULL,NULL,"select","Back of Moulding Width",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\Fractional,"1","1",NULL,"0",NULL,"1","323","adg_customizer/adminhtml_catalog_form_renderer_attribute_fractionalSelect","1","1","0","0","0","1","0","0","0","1","0","1",simple,"0","0","0","1","1","0","Frame|Frames"
"392","4","box_thickness",NULL,NULL,"decimal",NULL,NULL,"select","Wall thickness of the box",NULL,Ziffity\CustomFrame\Model\Product\Attribute\Source\Type\Fractional,"0","1",NULL,"0",NULL,"1","392",NULL,"1","1","0","0","0","1","0","0","0","1","0","1",customframe,"0","0","0","1","1","0","Frame|Size,Mat|Size"
"108","4","category_ids",NULL,NULL,"static",NULL,NULL,"text",NULL,NULL,NULL,"0","0",NULL,"0",NULL,"0","108",NULL,"1","0","0","0","0","0","0","0","0","0","0","1",NULL,"0","0","0","0","1","0","Frame|General,Mat|General"
"272","4","code",NULL,NULL,"varchar",NULL,NULL,"text","Code",NULL,NULL,"0","1",NULL,"0",NULL,"0","272",NULL,"0","1","0","0","0","1","1","0","0","1","0","0",simple,"0","0","0","0","1","0","Frame|Frames,Mat|Mat"
"264","4","color_layer",NULL,NULL,"varchar",NULL,NULL,"text","Color Layer",,NULL,"0","1",NULL,"0",NULL,"0","264","adg_customizer/adminhtml_catalog_form_renderer_attribute_colorLayer","0","1","0","1","0","1","1","0","0","1","0","0",NULL,"0","0","0","0","1","0","Mat|Mat"
"115","4","created_at",NULL,"eav/entity_attribute_backend_time_created","static",NULL,NULL,"text",NULL,NULL,NULL,"1","0",NULL,"0",NULL,"0","115",NULL,"1","0","0","0","0","0","0","0","0","0","0","1",NULL,"0","0","0","0","1","0","Frame|General,Mat|General"
"103","4","custom_design",NULL,NULL,"varchar",NULL,NULL,"select","Custom Design",NULL,"core/design_source_design","0","0",NULL,"0",NULL,"0","103",NULL,"0","1","0","0","0","0","0","0","0","0","0","1",NULL,"0","0","0","0","1","0","Frame|Design,Mat|Design"
"104","4","custom_design_from",NULL,"catalog/product_attribute_backend_startdate","datetime",NULL,NULL,"date","Active From",NULL,NULL,"0","0",NULL,"0",NULL,"0","104",NULL,"0","1","0","0","0","0","0","0","0","0","0","1",NULL,"0","0","0","0","1","0","Frame|Design,Mat|Design"
"105","4","custom_design_to",NULL,"eav/entity_attribute_backend_datetime","datetime",NULL,NULL,"date","Active To",NULL,NULL,"0","0",NULL,"0",NULL,"0","105",NULL,"0","1","0","0","0","0","0","0","0","0","0","1",NULL,"0","0","0","0","1","0","Frame|Design,Mat|Design"
