attribute_code,entity_type_code,option_values
gender,customer,Male | Female | Not Specified
resolution,rma_item,Exchange | Refund | Store Credit
condition,rma_item,Unopened | Opened | Damaged
reason,rma_item,Wrong Color | Wrong Size | Out of Service
backingboard_type,catalog_product,"PVC | Coroplast | Styrene | None | Cardboard | Acid-Free Foam Board | Foam Board | 1/4"" Melamine | LED Lighted Edge-Lit Panel | Metal Slide In Frame"
board_color,catalog_product,Black | Red | White | Grey | Blue | Brown | Burgundy | Green | Pink | Yellow
dry_erase_board_material,catalog_product,Magnetic | Melamine (non-magnetic)
fabric_color,catalog_product,Black | Blue | Brown | Green | Grey | Orange | Pink | Purple | Red | Tan | Teal | White | Yellow
fabric_selections,catalog_product,Most Popular | On Sale
fabric_style,catalog_product,  | Subtle Weave | Birch
glass_type,catalog_product,"Non Glare .015 PETG | Premium Clear Acrylic | Break Resistant Acrylic .093 | Non Glare Acrylic .060 | Tempered Glass | Clear Acrylic .040 | None | Clear Acrylic .020 | UV Protective Acrylic .098 | Metal Slide In - Clear | Metal Slide In - Non Glare | Break Resistant Acrylic .060"
laminate_colors,catalog_product,Black | Blue | Brown | Copper / Bronze | Golden | Green | Grey | Metallic | Orange | Pink | Purple | Red | Silver | Tan / Beige | White / Cream | Wood Type - Beech / Ash | Wood Type - Cherry | Wood Type - Mahogany | Wood Type - Maple | Wood Type - Oak | Wood Type - Specialty | Wood Type - Walnut | Yellow
laminate_type,catalog_product,Wood Finish | Solid Colors | Metallic
letter_board_material,catalog_product,Vinyl | Felt
supplier,catalog_product,Alpina | Bangor Cork | Chemetal | Crescent / Berkshire | Decor | Designer | Don Mar | Framerica | LaminArt | Nevamar | Nielsen Bainbridge | Omega | Peterboro | Profiles Frameware | Studio | SwingFame | Tensator | True Textiles / Guilford | United Visual | WilsonArt | WL Concepts
template_letter_set_colors,catalog_product,Black | Blue | Brown | Gold | Green | Orange | Pink | Purple | Red | Silver | White | Yellow
template_letter_set_font,catalog_product,Helvetica | Roman
template_letter_set_sizes,catalog_product,"1/2"" | 3/4"" | 1"" | 2"" | 3"""
